character,learner_definition_en,hk_selection_status,register,formal_written_chinese,written_cantonese,spoken_cantonese_transcription,hk_education_core,hk_typing_extension,hk_corpus_rank,hk_corpus_source,hk_news_frequency,hk_child_text_frequency,written_cantonese_frequency,supporting_words,curriculum_priority,curriculum_stage,approved_cantonese_reading,category,reviewer,reviewed_at,review_notes,status
一,one,include,formal-written-chinese,true,false,false,true,false,1,test-fixture,100,100,0,一個|第一,1,fixture-stage,jat1,numbers,test-fixture,2026-07-29,Compiler fixture only,approved
二,two,include,formal-written-chinese,true,false,false,true,false,2,test-fixture,90,90,0,二人|第二,2,fixture-stage,ji6,numbers,test-fixture,2026-07-29,Compiler fixture only,approved
三,three,include,formal-written-chinese,true,false,false,true,false,3,test-fixture,80,80,0,三個|第三,3,fixture-stage,saam1,numbers,test-fixture,2026-07-29,Compiler fixture only,approved
人,person,include,formal-written-chinese,true,false,false,true,false,4,test-fixture,70,70,0,人民|家人,4,fixture-stage,jan4,people,test-fixture,2026-07-29,Compiler fixture only,approved
口,mouth,include,formal-written-chinese,true,false,false,true,false,5,test-fixture,60,60,0,人口|門口,5,fixture-stage,hau2,body,test-fixture,2026-07-29,Compiler fixture only,approved
日,sun or day,include,formal-written-chinese,true,false,false,true,false,6,test-fixture,50,50,0,今日|日期,6,fixture-stage,jat6,time,test-fixture,2026-07-29,Compiler fixture only,approved
月,moon or month,include,formal-written-chinese,true,false,false,true,false,7,test-fixture,40,40,0,月份|月亮,7,fixture-stage,jyut6,time,test-fixture,2026-07-29,Compiler fixture only,approved
木,wood or tree,include,formal-written-chinese,true,false,false,true,false,8,test-fixture,30,30,0,木材|樹木,8,fixture-stage,muk6,nature,test-fixture,2026-07-29,Compiler fixture only,approved
水,water,include,formal-written-chinese,true,false,false,true,false,9,test-fixture,20,20,0,水果|飲水,9,fixture-stage,seoi2,nature,test-fixture,2026-07-29,Compiler fixture only,approved
火,fire,include,formal-written-chinese,true,false,false,true,false,10,test-fixture,10,10,0,火車|火山,10,fixture-stage,fo2,nature,test-fixture,2026-07-29,Compiler fixture only,approved
