type,term,unicode,source_definition,learner_definition_en,learner_definition_status,ai_review_status,review_notes
character,的,U+7684,"possessive, adjectival suffix",shows belonging or links words together,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,一,U+4E00,"one; a, an; alone",one,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,是,U+662F,"indeed, yes, right; to be; demonstrative pronoun, this, that",to be; used to say something is true,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,了,U+4E86,to finish; particle of completed action,shows that an action is finished,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,個,U+500B,"numerary adjunct, piece; single",general measure word for one person or thing,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,小,U+5C0F,"small, tiny, insignificant",small or little,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,有,U+6709,"have, own, possess; exist",have or own something,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,數,U+6578,number; several; count; fate,number; to count,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,在,U+5728,"be at, in, on; consist in, rest",be at or in a place,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,多,U+591A,"much, many; more than, over",many or much,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,我,U+6211,"our, us, i, me, my, we",I; me,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,上,U+4E0A,"top; superior, highest; go up, send up",up; above,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,人,U+4EBA,man; people; mankind; someone else,person; people,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,不,U+4E0D,"no, not; un-; negative prefix",not; no,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,來,U+4F86,"come, coming; return, returning",come,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,少,U+5C11,"few, less, inadequate",few or not much,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,這,U+9019,"this, the, here",this,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,下,U+4E0B,"under, underneath, below; down; inferior; bring down",down; below,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,米,U+7C73,hulled or husked uncooked rice,rice,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,地,U+5730,"earth; soil, ground; region",earth; ground,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,面,U+9762,"face; surface; plane; side, dimension; Kangxi radical 176",face; surface,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,大,U+5927,"big, great, vast, large, high",big; large,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,分,U+5206,divide; small unit of time etc.,divide; part,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,們,U+5011,adjunct pronoun indicate plural,marks more than one person,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,用,U+7528,"use, employ, apply, operate; use",use,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,中,U+4E2D,"central; center, middle; in the midst of; hit (target); attain",middle; centre,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,出,U+51FA,"go out, send out; stand; produce",go out; come out,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,和,U+548C,"harmony, peace; peaceful, calm",and; together with,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,說,U+8AAA,"speak, say, talk; scold, upbraid",speak; say,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,麼,U+9EBC,"interrogative final particle; insignificant, small, tiny",what; used in questions,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,子,U+5B50,"offspring, child; fruit, seed of; first earthly branch",child; son,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,到,U+5230,"go to, arrive, been to",arrive; reach,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,時,U+6642,"time, season; era, age, period",time; when,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,著,U+8457,manifest; (Cant.) to wear,wear; show,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,天,U+5929,"sky, heaven; god, celestial",sky; heaven,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,要,U+8981,"necessary, essential; necessity",need; want,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,他,U+4ED6,"other, another; he, she, it",he; she; it,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,學,U+5B78,"learning, knowledge; school",learn; study,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,把,U+628A,"hold, take; guard; regard as",hold; take,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,方,U+65B9,"a square, rectangle; a region; local",square; direction,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,想,U+60F3,"think, speculate, plan, consider",think; want,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,你,U+4F60,"you, second person pronoun",you,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,每,U+6BCF,"every, each",every; each,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,看,U+770B,"look, see; examine, scrutinize",look; see,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
