"file","jsonPointer","original","corrected"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/vocabulary/0/translations/zh/text","妈妈","媽媽"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/vocabulary/1/translations/zh/text","奶奶","祖母"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/vocabulary/2/translations/zh/text","花园","花園"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/vocabulary/3/translations/zh/text","客厅","客廳"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/grammarTokens/3/translations/zh","旁边","旁邊"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/phraseProgressionChains/0/steps/0/translations/zh/text","妈妈","媽媽"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/phraseProgressionChains/0/steps/0/translations/zh/tiles/0","妈妈","媽媽"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/phraseProgressionChains/0/steps/0/translations/zh/analysis/literalOrderExplanation","妈妈","媽媽"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/phraseProgressionChains/0/steps/0/translations/zh/analysis/tokens/0/text","妈妈","媽媽"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/phraseProgressionChains/0/steps/1/translations/zh/text","妈妈在花园里。","媽媽在花園裡。"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/phraseProgressionChains/0/steps/1/translations/zh/tiles/0","妈妈在花园里。","媽媽在花園裡。"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/phraseProgressionChains/0/steps/1/translations/zh/analysis/literalOrderExplanation","妈妈在花园里","媽媽在花園裡"
"data/ProgressiveLanguagePacks/beta1/stage1/semantic_pack_l1_001_family_home/pack.json","/phraseProgressionChains/0/steps/1/translations/zh/analysis/tokens/0/text","妈妈在花园里","媽媽在花園裡"
